subject,body,category
Regarding Market Bribery Issue 9,The vendor hinted at special benefits if we approve their bid.,Market Bribery
Regarding Market Bribery Issue 10,There might be incentives offered for securing this contract.,Market Bribery
Regarding Market Bribery Issue 11,There might be incentives offered for securing this contract.,Market Bribery
Regarding Market Bribery Issue 12,There might be incentives offered for securing this contract.,Market Bribery
Regarding Market Bribery Issue 13,Ensure the client gets the 'gift' we promised before finalizing the deal.,Market Bribery
Regarding Market Bribery Issue 14,There might be incentives offered for securing this contract.,Market Bribery
Regarding Market Bribery Issue 15,The vendor hinted at special benefits if we approve their bid.,Market Bribery
Regarding Market Bribery Issue 16,There might be incentives offered for securing this contract.,Market Bribery
Regarding Market Bribery Issue 17,The vendor hinted at special benefits if we approve their bid.,Market Bribery
Regarding Market Bribery Issue 18,The vendor hinted at special benefits if we approve their bid.,Market Bribery
Regarding Market Bribery Issue 19,The vendor hinted at special benefits if we approve their bid.,Market Bribery
Regarding Market Bribery Issue 20,The vendor hinted at special benefits if we approve their bid.,Market Bribery
Regarding Change in communication Issue 1,Switch to phone calls only regarding this project.,Change in communication
Regarding Change in communication Issue 2,Please use personal email for further discussions on this matter.,Change in communication
Regarding Change in communication Issue 3,Please use personal email for further discussions on this matter.,Change in communication
Regarding Change in communication Issue 4,Let's move this conversation off the official channel.,Change in communication
Regarding Change in communication Issue 5,Please use personal email for further discussions on this matter.,Change in communication
Regarding Change in communication Issue 6,Switch to phone calls only regarding this project.,Change in communication
Regarding Change in communication Issue 7,Switch to phone calls only regarding this project.,Change in communication
Regarding Change in communication Issue 8,Please use personal email for further discussions on this matter.,Change in communication
Regarding Change in communication Issue 9,Please use personal email for further discussions on this matter.,Change in communication
Regarding Change in communication Issue 10,Switch to phone calls only regarding this project.,Change in communication
Regarding Change in communication Issue 11,Please use personal email for further discussions on this matter.,Change in communication
Regarding Change in communication Issue 12,Let's move this conversation off the official channel.,Change in communication
Regarding Change in communication Issue 13,Let's move this conversation off the official channel.,Change in communication
Regarding Change in communication Issue 14,Please use personal email for further discussions on this matter.,Change in communication
Regarding Change in communication Issue 15,Let's move this conversation off the official channel.,Change in communication
Regarding Change in communication Issue 16,Let's move this conversation off the official channel.,Change in communication
Regarding Change in communication Issue 17,Switch to phone calls only regarding this project.,Change in communication
Regarding Change in communication Issue 18,Let's move this conversation off the official channel.,Change in communication
Regarding Change in communication Issue 19,Let's move this conversation off the official channel.,Change in communication
Regarding Change in communication Issue 20,Switch to phone calls only regarding this project.,Change in communication
Regarding Complaints Issue 1,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 2,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 3,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 4,I am dissatisfied with how this issue was handled by the support team.,Complaints
Regarding Complaints Issue 5,We need to escalate this complaint regarding workplace harassment.,Complaints
Regarding Complaints Issue 6,I am dissatisfied with how this issue was handled by the support team.,Complaints
Regarding Complaints Issue 7,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 8,I am dissatisfied with how this issue was handled by the support team.,Complaints
Regarding Complaints Issue 9,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 10,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 11,We need to escalate this complaint regarding workplace harassment.,Complaints
Regarding Complaints Issue 12,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 13,We need to escalate this complaint regarding workplace harassment.,Complaints
Regarding Complaints Issue 14,I am dissatisfied with how this issue was handled by the support team.,Complaints
Regarding Complaints Issue 15,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 16,I am dissatisfied with how this issue was handled by the support team.,Complaints
Regarding Complaints Issue 17,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 18,"This is the third time I’ve raised this concern, and no resolution yet.",Complaints
Regarding Complaints Issue 19,I am dissatisfied with how this issue was handled by the support team.,Complaints
Regarding Complaints Issue 20,We need to escalate this complaint regarding workplace harassment.,Complaints
Regarding Employee Ethics Issue 1,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 2,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 3,There are integrity concerns in the way the hiring process was managed.,Employee Ethics
Regarding Employee Ethics Issue 4,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 5,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 6,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 7,There are integrity concerns in the way the hiring process was managed.,Employee Ethics
Regarding Employee Ethics Issue 8,I’ve noticed unethical practices in the reporting of financials.,Employee Ethics
Regarding Employee Ethics Issue 9,There are integrity concerns in the way the hiring process was managed.,Employee Ethics
Regarding Employee Ethics Issue 10,I’ve noticed unethical practices in the reporting of financials.,Employee Ethics
Regarding Employee Ethics Issue 11,There are integrity concerns in the way the hiring process was managed.,Employee Ethics
Regarding Employee Ethics Issue 12,I’ve noticed unethical practices in the reporting of financials.,Employee Ethics
Regarding Employee Ethics Issue 13,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 14,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 15,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 16,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 17,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 18,We should raise this conflict of interest to HR immediately.,Employee Ethics
Regarding Employee Ethics Issue 19,There are integrity concerns in the way the hiring process was managed.,Employee Ethics
Regarding Employee Ethics Issue 20,There are integrity concerns in the way the hiring process was managed.,Employee Ethics
